               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10751,            0.010366,            0.063833,           0.0011909,            0.045876,          0.00045649,          7.8024e-05,             0.09038,           0.0081935,            0.051529,             0.00093,             0.00093,             0.09163
                   1,            0.089162,            0.012217,            0.048694,             0.89089,            0.053973,            0.031126,           0.0095349,            0.075733,           0.0085531,            0.040015,             0.00187,             0.00187,             0.08317
                   2,            0.080378,            0.011612,            0.040639,             0.34663,             0.13545,            0.049621,            0.014538,            0.069485,           0.0080185,             0.03605,           0.0028098,           0.0028098,             0.07471
                   3,            0.075457,            0.011026,            0.037006,             0.38772,             0.12922,            0.059718,            0.017073,            0.073522,            0.007108,            0.035298,           0.0037493,           0.0037493,            0.066249
                   4,            0.072742,            0.010652,            0.035216,              0.3846,             0.16195,            0.082122,            0.031517,            0.064222,           0.0075487,            0.034106,           0.0046884,           0.0046884,            0.057788
                   5,            0.070352,            0.010489,            0.034674,             0.18586,              0.1178,            0.082609,            0.032368,            0.066554,           0.0088403,            0.036188,           0.0056269,           0.0056269,            0.049327
                   6,            0.068441,            0.010285,             0.03371,              0.3903,             0.09279,            0.054001,            0.018692,            0.073658,           0.0078838,            0.036518,           0.0065648,           0.0065648,            0.040865
                   7,            0.067718,            0.010017,            0.033452,             0.39138,             0.15751,            0.078787,            0.032021,            0.064384,            0.007579,            0.032451,           0.0075019,           0.0075019,            0.032402
                   8,            0.067329,            0.010182,            0.033315,             0.39755,            0.090263,            0.056944,            0.020203,            0.071898,           0.0073206,            0.035921,           0.0084381,           0.0084381,            0.023938
                   9,            0.066376,            0.010235,            0.032665,             0.49782,             0.12038,            0.084743,            0.035432,            0.064578,           0.0078553,            0.033266,           0.0093733,           0.0093733,            0.015473
                  10,            0.066633,            0.010295,            0.032961,             0.73569,            0.061421,            0.040086,            0.016232,            0.076259,           0.0078712,             0.04118,           0.0099781,           0.0099781,           0.0099781
                  11,            0.066392,            0.010455,            0.032786,              0.4382,             0.14988,             0.10407,            0.039609,            0.065088,           0.0070013,            0.032977,           0.0099781,           0.0099781,           0.0099781
                  12,            0.064784,           0.0099561,            0.032248,             0.29085,              0.1615,            0.097455,            0.037653,            0.065651,            0.007237,            0.033711,           0.0099735,           0.0099735,           0.0099735
                  13,            0.063669,            0.010111,            0.031468,             0.27814,             0.11451,            0.066598,            0.025089,            0.068079,            0.008283,            0.037073,           0.0099685,           0.0099685,           0.0099685
                  14,            0.063189,           0.0098513,            0.031366,             0.41369,             0.16303,            0.089197,            0.034489,            0.063004,           0.0071869,            0.031886,            0.009963,            0.009963,            0.009963
                  15,            0.062521,           0.0097291,            0.030732,             0.33199,             0.20485,             0.14001,            0.054886,               0.059,           0.0067035,            0.030171,           0.0099571,           0.0099571,           0.0099571
                  16,            0.061975,           0.0097397,            0.030791,             0.47269,             0.13224,             0.10284,            0.041802,            0.063297,           0.0072226,            0.031817,           0.0099508,           0.0099508,           0.0099508
                  17,            0.060984,           0.0094696,             0.02995,             0.34023,             0.21382,               0.146,            0.057557,            0.058711,           0.0066944,            0.030352,            0.009944,            0.009944,            0.009944
                  18,            0.061804,           0.0097187,            0.030124,             0.29117,             0.23584,             0.14729,            0.058287,            0.058055,           0.0065312,            0.029015,           0.0099368,           0.0099368,           0.0099368
                  19,            0.060784,           0.0094237,            0.030199,             0.31602,             0.21674,             0.13842,             0.05442,            0.058111,           0.0066676,            0.029621,           0.0099291,           0.0099291,           0.0099291
                  20,            0.060987,           0.0095307,             0.02971,             0.34275,             0.22738,             0.15152,            0.061077,            0.057776,           0.0061951,            0.029602,           0.0099211,           0.0099211,           0.0099211
                  21,            0.060674,           0.0094147,            0.029841,             0.31964,              0.2023,              0.1637,            0.064242,            0.057038,           0.0063304,              0.0291,           0.0099126,           0.0099126,           0.0099126
                  22,            0.060301,            0.009423,            0.029715,             0.39697,             0.20594,             0.16884,            0.066736,            0.057599,              0.0061,             0.02907,           0.0099037,           0.0099037,           0.0099037
                  23,            0.059455,           0.0093562,             0.02943,             0.33654,             0.22119,             0.17257,            0.066179,            0.057768,           0.0061951,            0.029315,           0.0098943,           0.0098943,           0.0098943
                  24,            0.060076,           0.0093491,            0.029791,             0.20054,              0.2241,             0.15278,            0.062797,            0.057336,            0.006183,            0.029255,           0.0098845,           0.0098845,           0.0098845
                  25,            0.059502,           0.0092907,             0.02914,             0.39536,             0.20815,             0.15685,            0.062243,            0.058151,           0.0060184,            0.028852,           0.0098743,           0.0098743,           0.0098743
                  26,            0.059368,           0.0091483,            0.028438,             0.20506,             0.21063,             0.15258,            0.061421,            0.057422,           0.0064546,            0.028955,           0.0098637,           0.0098637,           0.0098637
                  27,            0.059696,           0.0093849,            0.028729,             0.22326,             0.21835,             0.15052,            0.060399,            0.058506,            0.007246,            0.030322,           0.0098527,           0.0098527,           0.0098527
                  28,            0.059023,           0.0093112,            0.028843,              0.2325,             0.28381,             0.18015,            0.071296,            0.056928,            0.006351,            0.028159,           0.0098412,           0.0098412,           0.0098412
                  29,            0.059257,           0.0093145,            0.028627,             0.32376,             0.21396,             0.16981,            0.068597,             0.05596,           0.0063567,            0.028158,           0.0098293,           0.0098293,           0.0098293
                  30,            0.058943,           0.0092636,            0.028482,             0.26261,             0.27621,             0.19075,            0.075441,            0.056042,           0.0059753,            0.028344,            0.009817,            0.009817,            0.009817
                  31,             0.05907,           0.0092677,            0.028405,             0.31859,              0.2288,             0.17874,            0.070345,            0.055484,           0.0058459,            0.028254,           0.0098042,           0.0098042,           0.0098042
                  32,            0.058609,           0.0090285,            0.027914,             0.30992,             0.23873,             0.19583,            0.077515,            0.054899,           0.0059792,            0.027619,           0.0097911,           0.0097911,           0.0097911
                  33,            0.058382,           0.0091987,            0.027651,             0.26267,             0.24797,             0.17588,            0.070355,            0.055527,           0.0062427,            0.027685,           0.0097775,           0.0097775,           0.0097775
                  34,            0.058106,           0.0091122,             0.02814,             0.26696,             0.26935,              0.1831,            0.073412,            0.056454,           0.0059213,            0.028026,           0.0097635,           0.0097635,           0.0097635
                  35,            0.058442,           0.0091167,            0.027391,             0.29106,             0.22141,             0.18457,            0.072086,            0.054918,           0.0059747,            0.027648,           0.0097491,           0.0097491,           0.0097491
                  36,            0.057853,           0.0090249,            0.027939,              0.3363,             0.22191,             0.18655,            0.073192,            0.055677,           0.0059765,            0.027855,           0.0097343,           0.0097343,           0.0097343
                  37,            0.057958,           0.0090793,            0.028437,             0.25592,             0.23675,             0.19046,             0.07678,            0.055073,           0.0058249,            0.027282,           0.0097191,           0.0097191,           0.0097191
                  38,            0.057279,           0.0090353,            0.027545,             0.29055,             0.20694,             0.17718,            0.067938,            0.056474,           0.0063509,            0.028682,           0.0097035,           0.0097035,           0.0097035
                  39,            0.057536,           0.0090517,            0.027878,             0.29792,             0.22371,             0.19347,            0.078983,            0.054331,           0.0057858,            0.027425,           0.0096875,           0.0096875,           0.0096875
                  40,            0.057548,           0.0090971,            0.027684,             0.24993,             0.25698,             0.18889,            0.075479,            0.055822,           0.0060022,             0.02853,            0.009671,            0.009671,            0.009671
                  41,            0.057534,           0.0090691,            0.027358,             0.25196,             0.27855,                 0.2,            0.079985,            0.054682,           0.0057079,            0.027834,           0.0096542,           0.0096542,           0.0096542
